PC1,PC2,risk_level
<<<<<<< HEAD
-0.4996337173342573,-0.38742247029803845,Low
0.12335358643317618,0.46249858797600585,Low
0.15507360420184857,0.43620223552800663,Low
0.135836257508535,0.43096910192541027,Low
0.07388941865041876,0.4396917389413362,Low
0.18181915248224811,0.4135813696324152,Medium
-0.05766660669452417,0.5225285578721814,Low
0.012155220709036962,0.49098281832701196,Low
0.1175948953380157,0.4368931106372458,Medium
0.5728944002014811,0.020932928246349014,Low
-0.5502064687931494,-0.3340222195548972,Low
0.243251594107726,0.382518071674251,High
0.1649047373400746,0.38170434544036924,Low
0.7372834434979654,-0.06999867898341394,Medium
0.28988545174306146,0.38449116270537687,Low
2.12751485548032,-0.9681604356595971,High
-0.6135519929777219,-0.2982689650308601,Low
0.2818440512160857,0.34403674687440267,Low
-0.08826840893399868,0.5302750733959232,Low
-0.41366243523346324,-0.4262662827574127,Medium
-0.02839223261861895,0.47693952747646384,Low
0.03465690056767762,0.4939716848798271,Low
0.2327287896086091,0.3808070132824942,Medium
-0.688658860811892,-0.21718967855973337,Low
0.09793055958964375,0.491364002198009,Low
0.011977000644975533,0.5055171939682019,Low
1.663514134308149,-0.7295708788304968,High
-0.1572656150347467,-0.739002394075288,Low
-0.5907764935151459,-0.3156096664069119,Low
1.814554527103822,-0.6718511954753111,High
-0.541942161856173,-0.3511098475254838,Low
0.12579669740040744,0.4040998823576475,Low
-0.6632993174523385,-0.24988159777104224,Low
-0.5156577384310905,-0.4029329542450485,Low
-0.6339921504144357,-0.29928465963146733,Low
-0.6458083393535957,-0.2675648500850649,Low
0.08051931912186244,0.42477159799097697,Low
-0.5915407099669168,-0.3166585530723518,Low
1.72140139710679,-0.6629385998338105,High
-0.6006636258415212,-0.32242112030222525,Medium
0.09160321739621002,0.4583958162715601,Low
0.0013094060916191141,0.472287049462762,Medium
1.6090587634546927,-0.5459557241047359,High
0.3809581346262164,0.08279776216862739,Low
0.05773283375802385,0.4943355765011047,Low
0.8226957881153296,-0.13057418040551327,High
-0.02542903219424919,0.5463407973158961,Low
-0.3259450833937445,-0.4589926184856499,Medium
0.03500672247422154,0.4741741391002888,Low
-0.5476894332059932,-0.33978947841660023,Low
-0.5437004257386907,-0.32986341428315913,Medium
0.11562971876514061,0.457992313277904,Low
0.08337905439815507,0.46521280937187637,Low
0.005984633725774291,0.5064707323045675,Low
0.17331927489068322,0.39775866374212465,Low
-0.5716360729732295,-0.32509780931000815,Medium
-0.6370226423962847,-0.27103118983872526,Low
0.1751986851638394,0.3885390979975195,Low
-0.5662764184021447,-0.3260235869671083,Low
0.06469316207151621,0.4392201938823679,Low
0.1711339602474029,0.37294163248785317,Medium
0.0281657916499376,0.4877437974263352,Low
0.20199259810411907,0.4045799306523581,Medium
-0.5581609244623078,-0.37885565957380846,Low
-0.542907977451512,-0.3556561615472634,Low
-0.5813480115766132,-0.3517152763726815,Low
0.11512672479596575,0.44029777267715264,Low
0.0782043890444391,0.41048977200761916,Low
0.19675301269847423,0.4112012553516482,Medium
-0.514430758590075,-0.395439301466291,Low
-0.498682635696282,-0.35921362803959433,Low
0.18882559614847483,0.39879992813605714,Medium
0.026484400467872482,0.4465179143697887,Low
0.2840087512823869,0.3297571529073106,Medium
0.19298614801842062,0.35998518202057483,Medium
