PC1,PC2,PC3,risk_level
-0.1572656150347467,-0.739002394075288,0.7899554257232486,Low
-0.5907764935151459,-0.3156096664069119,-0.14182391689187196,Low
1.814554527103822,-0.6718511954753111,-0.08590036873049883,High
-0.541942161856173,-0.3511098475254838,-0.10131186899715941,Low
0.12579669740040744,0.4040998823576475,0.1869801924730391,Low
-0.6632993174523385,-0.24988159777104224,-0.09753258892939354,Low
-0.5156577384310905,-0.4029329542450485,0.04651277658600078,Low
-0.6339921504144357,-0.29928465963146733,0.02252417412997576,Low
-0.6458083393535957,-0.2675648500850649,-0.036997956467038795,Low
0.08051931912186244,0.42477159799097697,0.04870027723532255,Low
-0.5915407099669168,-0.3166585530723518,-0.006512057530923099,Low
1.72140139710679,-0.6629385998338105,0.13375217702121484,High
-0.6006636258415212,-0.32242112030222525,0.003140298770199945,Medium
0.09160321739621002,0.4583958162715601,0.046803384970703354,Low
0.0013094060916191141,0.472287049462762,0.13667150916071935,Medium
1.6090587634546927,-0.5459557241047359,0.18196094878368352,High
0.3809581346262164,0.08279776216862739,0.9393181754106228,Low
0.05773283375802385,0.4943355765011047,-0.025858753921924993,Low
0.8226957881153296,-0.13057418040551327,0.5537210007206672,High
-0.02542903219424919,0.5463407973158961,-0.09668598687185884,Low
-0.3259450833937445,-0.4589926184856499,-0.27251514307347796,Medium
0.03500672247422154,0.4741741391002888,0.14411275652152167,Low
-0.5476894332059932,-0.33978947841660023,0.011671545166571262,Low
-0.5437004257386907,-0.32986341428315913,-0.08344049251480537,Medium
0.11562971876514061,0.457992313277904,0.001484880932913879,Low
0.08337905439815507,0.46521280937187637,0.013268768528105324,Low
0.005984633725774291,0.5064707323045675,0.05598011833204675,Low
0.17331927489068322,0.39775866374212465,0.040600432451799895,Low
-0.5716360729732295,-0.32509780931000815,0.04497860887269334,Medium
-0.6370226423962847,-0.27103118983872526,-0.012132684274192507,Low
0.1751986851638394,0.3885390979975195,0.02124457724270623,Low
-0.5662764184021447,-0.3260235869671083,-0.0022464060766985705,Low
0.06469316207151621,0.4392201938823679,0.1402888952264575,Low
0.1711339602474029,0.37294163248785317,-0.04831866414715019,Medium
0.0281657916499376,0.4877437974263352,-0.006316526549823398,Low
0.20199259810411907,0.4045799306523581,-0.16869143760141914,Medium
-0.5581609244623078,-0.37885565957380846,0.0378180787736524,Low
-0.542907977451512,-0.3556561615472634,0.026816050314202255,Low
-0.5813480115766132,-0.3517152763726815,-0.02659175980993367,Low
0.11512672479596575,0.44029777267715264,0.02428353303406916,Low
0.0782043890444391,0.41048977200761916,0.20906115063194586,Low
0.19675301269847423,0.4112012553516482,-0.17026673387856295,Medium
-0.514430758590075,-0.395439301466291,-0.02705745244459462,Low
-0.498682635696282,-0.35921362803959433,-0.14555021489740602,Low
0.18882559614847483,0.39879992813605714,-0.15028883963645104,Medium
0.026484400467872482,0.4465179143697887,0.20309022552246703,Low
0.2840087512823869,0.3297571529073106,-0.1638826060031514,Medium
0.19298614801842062,0.35998518202057483,-0.02252670089485803,Medium
0.16045705292542933,0.3843797184464397,0.0874796885754785,Low
-0.009786787499415417,0.4783722843662085,0.1505155620855556,Medium
0.08321109468667309,0.41371890934307887,0.10620965863595966,Low
0.04519327220037106,0.4736024321719977,0.09110838329747362,Medium
-0.5519734765325521,-0.3681464228432533,0.0368033213450068,Low
-0.008097031000676158,0.49312375986381607,0.10708054330473604,Medium
-0.05142918396504936,0.4970018030036417,0.16127306097569727,Low
0.019401321586491327,0.4573292655901118,0.13268353802604116,Low
-0.06561230249265393,0.5262776128432011,0.0854514212632973,Low
-0.11496085012465507,-0.7935465572994526,0.8240938810109493,Medium
0.02310231348391656,0.5035135870901981,-0.027571724390731023,Low
-0.6045218911930026,-0.2946193410495848,-0.11548542864064235,Low
-0.5515027586120028,-0.36491161370748937,0.09454354539326315,Low
0.19082817893868897,0.37885488505075493,-0.028408653222655178,Medium
0.05198329936371254,0.4301829937914332,0.12847342190659217,Low
0.03446518624549011,0.44882034095739165,0.1481918822449293,Low
0.2693687292258451,0.3504651824158319,-0.21287326131883247,High
-0.6460638445559491,-0.2701497341614366,-0.03625830741786712,Low
0.09531180294515706,0.43976981908155166,0.07498512192297302,Medium
-0.12005848269834452,0.5536955628630076,0.12011003743939341,Low
-0.5561917314484973,-0.38365922982313183,0.09143132929572195,Low
-0.6036053396676271,-0.31860700182187707,-0.0292370682006996,Low
-0.5790230310882887,-0.3229960621705966,-0.11728798168109522,Low
-0.046717119704441035,0.5059866672710059,0.11932381105407841,Low
-0.4607778334587985,-0.4420298787191512,-0.12340114675803207,Low
-0.5916959669766049,-0.3207888674966687,-0.04379095454387352,Low
-0.5964884825329022,-0.2947391951973828,-0.09613674851478418,Low
-0.5803308256307231,-0.3209882162242482,0.007615533658912321,Low
0.037574796043874925,0.460394737804935,0.08349288961848278,Low
2.056119789796318,-1.000738575681385,-0.22039848935714468,High
-0.6118211729127141,-0.29909810471940457,-0.03509999723405133,Low
-0.5200422217353087,-0.36627311982141786,0.022325774121983888,Low
-0.024397908644218202,0.5053165863718061,-0.009932970361926863,Low
1.5359986401409043,-0.5910929243972425,0.06318160371178339,High
-0.6009562170536508,-0.2918359360457078,-0.09853111834290473,Low
-0.5488417652589446,-0.3311566831486812,-0.0407010969374815,Low
0.10638479032519077,0.43099888854130075,0.030915675552050326,Low
0.05563659566650497,0.40881390922502614,0.24889624362942664,Low
0.3464218289879234,0.3004507813982547,-0.20492599355715474,High
0.03851407431515125,0.48054894077618204,0.09756476568368289,Low
0.05663023068197709,0.4430857785564394,0.08714624514820235,Low
-0.5653549304858396,-0.3355904180604742,-0.15788288179043564,Low
-0.5677987764724574,-0.32445453090472803,0.007253596669676787,Low
-0.028440274308371816,0.5023785136381069,0.09764055522506698,Low
0.02783183432698616,0.4553328772936912,0.0700969828795105,Low
0.24514657073825874,0.3900621041238431,-0.28137379058223466,High
0.013075317301805,0.45772782239742893,0.1631437575654403,Low
-0.09940155580006627,-0.7642997812609056,0.6839156654771175,Low
-0.5825291908962699,-0.30916516323928345,-0.026730129613938447,Low
-0.5490120764504599,-0.34503373838978124,0.00870489707806904,Low
-0.4625359444875329,-0.39654615716898683,-0.10859160826323996,Medium
0.07491386361408647,0.442987013575046,-0.010123531399901409,Low
1.6985552728606887,-0.5873936566225415,-1.1515384350120819,High
-0.6601092028013749,-0.2805348050198409,0.0718465940172735,Low
0.05606005948933512,0.4553305317886627,0.08400133488436945,Low
0.035760989696503986,0.4751946491023653,-0.025148325612595668,Low
-0.5577731085800908,-0.34019290247043926,-0.023789979227744285,Low
-0.4840757751628267,-0.39906966110721903,-0.09441963722850094,Low
0.008982003446292963,0.44864099305374705,0.2518557254641134,Low
-0.52994942526531,-0.35626585178567305,0.031870432638419655,Low
0.545774728760553,-0.0010704114463495062,0.9082630125936915,Low
0.08381879088521565,0.44230963125471723,-0.077395070986126,Low
-0.5687726875996686,-0.3395698140670791,0.12711201272794476,Low
-0.01628039567066042,0.4846808029388979,0.11408414943798817,Low
0.4585120935017193,0.02802931220424726,0.9521718558014802,Low
-0.6106909526445603,-0.29622611130374626,-0.08905675323743822,Low
-0.47473511467027574,-0.35707417366873984,-0.17622018221808836,Medium
0.19435536460603853,0.393570486407522,-0.19172962980609176,Medium
-0.6071131930663689,-0.2651036646124866,-0.21056766275852462,Low
0.177248118415418,0.44768051094250383,-0.04169650128775648,Medium
1.7738282056574193,-0.8439753485699061,-0.14160527680325674,High
1.63622093927145,-0.6953860747601379,-0.19222056502510054,High
0.1999560206541725,0.3703069085977112,-0.03220787769840916,Low
0.8510099890227243,-0.13859596715023198,0.5087403526232773,High
0.12021179220288791,0.4217518355630868,0.10154922149441226,Low
0.007379602778774141,0.49060648219001834,0.06118066113829801,Low
-0.46821285813900726,-0.35731268200236665,-0.23291052726975459,Medium
-0.3875224539624784,-0.42531876130047774,-0.20661804760691171,Medium
0.13781129212581034,0.4518751834761562,-0.2146069434498106,Medium
0.8225647123619073,-0.11626853912315088,0.5145775035523351,High
0.10574812028730807,0.4258376534534888,0.13550879774296565,Medium
-0.5740094874462708,-0.3168184199745886,-0.015687876702020376,Medium
-0.5813685370030773,-0.2843688566905316,-0.18694901763511185,Low
0.35553549912689664,0.3125175200849626,-0.07867025949395934,Medium
0.2568039322017418,0.35961338848398117,-0.22059021368376147,Medium
0.3208065580638728,0.30308912217962203,-0.0921836328380719,Medium
-0.08906246816772678,0.5662097632550828,0.04525113581924528,Low
-0.021324226522774214,0.49607601493020026,0.09455294409756954,Low
0.21036821047884913,0.3790385768333221,-0.1811013220251011,Medium
-0.5436495284131545,-0.34286739034374547,-0.04596588003370894,Low
0.10180605246696539,0.453228919291612,-0.05648856213101866,Low
-0.012104877365463729,0.46608084879060707,0.1877816365226842,Low
0.2983675864100619,0.3787666732681255,-0.29541217150779786,Medium
-0.6408266361098733,-0.3048032449284993,0.059428347753064215,Low
-0.562877286130328,-0.3545896468370081,-0.023859707750855108,Low
0.12881100946298019,0.4041036394132397,0.06490614483936552,Low
0.054997353289926665,0.4255847073604534,0.10705616704415633,Low
0.2150571488190932,0.3955008463386558,-0.27057457587334804,High
-0.6581462565316021,-0.2442770627182198,-0.06979267857312005,Low
-0.5452688817337088,-0.36003993185092964,0.0805874797249288,Low
0.27074381568070083,0.35800745462583994,-0.20451029563270698,Medium
-0.006049500378468853,0.5117466473397381,0.0655201473668851,Low
-0.1097420736754392,-0.7529722860800391,0.7335671283608625,Low
-0.4637566896602661,-0.3917705545653788,-0.1829742778908251,Low
-0.49819110802568256,-0.3867024873984048,0.055846543456081144,Low
-0.5770603309474318,-0.3610687725244326,-0.007289512406923493,Low
0.5899571427220283,-0.0028522071223974765,0.8302450493214637,Low
-0.10975440797727465,-0.7768955676459982,0.7353597485884535,Low
0.14623099863635491,0.4216970001956698,-0.08208650956703395,Medium
0.0784773263416636,0.42587349860271206,0.18122539143899696,Medium
-0.5110398119464757,-0.3916065249093409,-0.0474320395658733,Low
0.3909415037330033,0.30462996728421776,-0.11662962169691096,Medium
2.161596592485239,-0.9747928683116196,-0.24044608821736135,High
-0.5754225839167221,-0.33910983228961367,0.12648167417589828,Low
0.27220067237816314,0.37088372572588146,0.061520985309322596,Low
-0.6217932833802149,-0.29449779308799895,-0.20035231427603611,Low
-0.49338984207712594,-0.3824891067302303,-0.24000108404264364,Low
-0.6946520992424206,-0.23484197555532793,-0.13668861203601804,Low
-0.6290638110230572,-0.29176304032763545,-0.012803536717880593,Low
0.10418286023177192,0.41193952608294837,0.017551708854631864,Low
0.45718566207908706,0.05738888526009139,0.8886953762824095,Low
-0.5584841997494572,-0.3602158572813515,-0.022883665454308144,Low
-0.07606725192478364,-0.7916478318620453,0.7011277757222515,Low
-0.7092595530657324,-0.22770893169704587,-0.04250933072092214,Low
0.20666376015482724,0.4418864228175886,-0.2533770789050206,Medium
-0.580161396118826,-0.32026958332136884,-0.007011040890905096,Low
0.2129091972802467,0.37453711034571313,-0.09920319570257469,Medium
-0.6018852362620936,-0.3672604872826343,-0.018810048641667076,Low
1.553148978254691,-0.47341929458061144,-1.116368406041052,High
